"id";"name";"d1";"d2";"d3";"d4";"d5"
200;"EmersonElectricCo.(emr)";"7.19";"4.89";"3.94";"5.02";"4.19"
201;"Marsh&McLennanCos.,Inc.(mmc)";"2.76";"5.31";"6.90";"2,900.00";"3.93"
202;"ABBLtd.(abb)";"6.40";"7.07";"6.08";"4.23";"6.23"
203;"Prologis,Inc.(pld)";"3.46";"3.35";"3.66";"2.99";"8.76"
204;"CapitalOneFinancialCorp.(cof)";"14.92";"19.05";"13.33";"-8.63";"11.29"
205;"ItaúUnibancoHoldingSA(itub)";"16.34";"20.20";"17.29";"18.82";"18.70"
206;"TelefónicaSA(tef)";"13.35";"8.47";"8.95";"10.60";"9.47"
207;"MicronTechnology,Inc.(mu)";"43.26";"38.23";"33.11";"26.78";"23.69"
208;"CognizantTechnologySolutionsCorp.(ctsh)";"4.56";"5.20";"-1,800.00";"4.95";"4.70"
209;"ProgressiveCorp.(pgr)";"9.28";"0.00";"0.00";"--";"--"
210;"MetLife,Inc.(met)";"0.00";"0.00";"300.00";"-9.68";"0.00"
211;"ConstellationBrands,Inc.(stz)";"11.51";"7.46";"9.29";"4.95";"5.02"
212;"LasVegasSandsCorp.(lvs)";"6.99";"6.76";"16.16";"13.60";"6.85"
213;"ConstellationBrands,Inc.(stz.b)";"11.51";"7.46";"9.29";"4.95";"5.02"
214;"AmericanElectricPowerCo.,Inc.(aep)";"--";"5.30";"4.57";"4.02";"5.57"
215;"MarriottInternational,Inc.(mar)";"6.10";"3.98";"2.01";"3.92";"4.14"
216;"InfosysLtd.(infy)";"5.82";"5.35";"5.71";"7.97";"5.78"
217;"BancoBilbaoVizcayaArgentariaSA(bbva)";"19.10";"19.98";"4.91";"16.81";"15.90"
218;"BrookfieldAssetManagement,Inc.(bam)";"6.42";"8.19";"10.07";"1.93";"1.90"
219;"CanadianImperialBankofCommerce(cm)";"10.50";"10.34";"10.50";"9.31";"8.30"
220;"PrudentialFinancial,Inc.(pru)";"--";"--";"--";"--";"--"
221;"CarnivalCorp.(ccl)";"17.07";"5.61";"3.91";"5.46";"13.29"
222;"FordMotorCo.(f)";"9.93";"10.69";"17.45";"24.13";"15.71"
223;"AonPlc(aon)";"1.47";"4,700.00";"5.86";"500.00";"1.80"
224;"ValeroEnergyCorp.(vlo)";"8.74";"8.75";"5.82";"24.00";"8.63"
225;"ChinaTelecomCorp.Ltd.(cha)";"9.01";"7.81";"7,236.32";"8.83";"10.02"
226;"BarclaysPlc(bcs)";"3.06";"13.86";"3.46";"5.64";"10.74"
227;"WasteManagement,Inc.(wm)";"4.98";"4.99";"3.95";"9.03";"3.88"
228;"BB&TCorp.(bbt)";"8.39";"8.22";"7.91";"6.67";"6.48"
229;"RossStores,Inc.(rost)";"3.89";"4.18";"4.51";"2.74";"3.17"
230;"DeltaAirLines,Inc.(dal)";"13.12";"10.25";"5.47";"5.72";"11.78"
231;"SyscoCorp.(syy)";"4.49";"3.30";"2.84";"3.68";"3.05"
232;"HP,Inc.(hpq)";"8.80";"10.58";"19.38";"6.60";"6.96"
233;"TheBlackstoneGroupLP(bx)";"4.43";"7.42";"3.68";"2.82";"3.85"
234;"KinderMorgan,Inc.(kmi)";"10.01";"-1.32";"5.40";"-9.93";"3.85"
235;"RegeneronPharmaceuticals,Inc.(regn)";"5.51";"4.78";"1.74";"3.88";"3.88"
236;"BaxterInternational,Inc.(bax)";"3.43";"3.89";"-6,100.00";"2.48";"2.64"
237;"PublicStorage(psa)";"3.48";"2.88";"3.34";"2.80";"2.77"
238;"AmericanInternationalGroup,Inc.(aig)";"--";"-100.00";"-300.00";"-100.00";"800.00"
239;"Kimberly-ClarkCorp.(kmb)";"4.62";"4.65";"9,700.00";"6.25";"5.79"
240;"BCE,Inc.(bce)";"5.85";"5.61";"4.85";"6.52";"6.03"
241;"RoyalBankofScotlandGroupPlc(rbs)";"7.34";"2.73";"12.30";"-5.51";"7.93"
242;"LyondellBasellIndustriesNV(lyb)";"16.54";"12.30";"18.96";"10.57";"11.33"
243;"TheSherwin-WilliamsCo.(shw)";"3.54";"4.04";"2.50";"8.97";"3.17"
244;"TransCanadaCorp.(trp)";"6.99";"6.86";"7.47";"5.55";"7.25"
245;"RoyalPhilipsNV(phg)";"3.57";"2.22";"1.16";"5.65";"3.11"
246;"CanadianNaturalResourcesLtd.(cnq)";"7.61";"4.61";"3.11";"5.46";"7.97"
247;"AirProducts&Chemicals,Inc.(apd)";"4.45";"4.24";"1.63";"4.81";"1.06"
248;"FidelityNationalInformationServices,Inc.(fis)";"2.18";"1.90";"9.98";"7,100.00";"1.40"
249;"TheAllstateCorp.(all)";"0.00";"0.00";"0.00";"0.00";"0.00"
250;"TheTravelersCos.,Inc.(trv)";"--";"--";"--";"--";"--"
251;"Aflac,Inc.(afl)";"--";"--";"--";"--";"--"
252;"ThomsonReutersCorp.(tri)";"1.42";"1.72";"5.95";"3.49";"2.01"
253;"VFCorp.(vfc)";"5.07";"1.60";"2.61";"-7,297.90";"3.87"
254;"CreditSuisseGroupAG(cs)";"6.64";"7.30";"-21.26";"2.56";"3.14"
255;"Fiserv,Inc.(fisv)";"2.51";"4.23";"5.32";"2.32";"2.21"
256;"JD.com,Inc.(jd)";"-3.57";"2.32";"-1.46";"1.47";"-4,534.61"
257;"NokiaOyj(nok)";"-1.48";"-3.23";"-4.35";"-4.45";"-2.23"
258;"EatonCorp.Plc(etn)";"6.11";"4.87";"6.34";"13.99";"5.16"
259;"MarathonPetroleumCorp.(mpc)";"12.34";"2.35";"21.22";"10.04";"5.74"
260;"SempraEnergy(sre)";"-5.30";"3.58";"-4.51";"1.02";"2.48"
261;"AppliedMaterials,Inc.(amat)";"11.73";"11.29";"1.35";"9.82";"9.25"
262;"Equinix,Inc.(eqix)";"6,761.80";"6,289.40";"6,521.50";"7,990.00";"4,580.50"
263;"Canon,Inc.(caj)";"4.48";"7.44";"5.52";"5.29";"6.00"
264;"BTGroupPlc(bt)";"10.05";"6.65";"6.86";"3.65";"4.75"
265;"HalliburtonCo.(hal)";"4.34";"5.08";"4,700.00";"-8.06";"3.61"
266;"ManulifeFinancialCorp.(mfc)";"0.00";"0.00";"0.00";"0.00";"0.00"
267;"ICICIBankLtd.(ibn)";"72.96";"2.28";"2.94";"3.21";"4.04"
268;"AnalogDevices,Inc.(adi)";"4.13";"3.78";"2.67";"3.46";"6,793.50"
269;"BancoBradescoSA(bbd)";"12.66";"13.95";"11.77";"9.53";"12.25"
270;"RedHat,Inc.(rht)";"8,685.40";"1.13";"-1,255.20";"1.01";"9,685.90"
271;"ServiceNow,Inc.(now)";"840.50";"-5,274.60";"1,062.20";"-2,780.70";"-2,418.80"
272;"DollarGeneralCorp.(dg)";"4.07";"3.65";"7.12";"2.53";"2.95"
273;"EdwardsLifesciencesCorp.(ew)";"2.26";"2.83";"2.07";"-280.00";"1.70"
274;"JohnsonControlsInternationalPlc(jci)";"8.04";"4.83";"2.71";"9.27";"6.29"
275;"RoperTechnologies,Inc.(rop)";"2.48";"2.28";"2.11";"4.44";"1.90"
276;"TDAmeritradeHoldingCorp.(amtd)";"4.54";"4.51";"2.71";"2.97";"2.11"
277;"Smith&NephewPlc(snn)";"1.52";"1.03";"9,294.00";"1.57";"1.68"
278;"MonsterBeverageCorp.(mnst)";"2.70";"2.16";"2.01";"2.19";"2.23"
279;"AnadarkoPetroleumCorp.(apc)";"1,600.00";"1.73";"10.39";"-6.41";"-3.34"
